Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Scap_DM21B06,Sepi_1A04_aa,Sepi_1C01_aa,Sepi_28C03_a,Sepi_28C09_a,Sepi_29G01_a,Sepi_2A01_aa,Sepi_2C10_ad,Sepi_2D07_ad,Sepi_2d12_aa,Sepi_2E07_ad,Sepi_2g06_aa,Sepi_30A07_a,Sepi_30B01_a,Sepi_3A01_ad,Sepi_3A05_ad,Sepi_3A07_ad,Sepi_3a11_aa,Sepi_3C06_ad,Sepi_3c09_aa,Sepi_3c10_aa,Sepi_3D11_aa,Sepi_58D03_C,Sepi_58D04_C,Sepi_58F01_C,Sepi_5A02_aa,Sepi_5B11_aa,Sepi_5c01_aa,Sepi_5C04_ad,Sepi_61B02_C,Sepi_63G02_C,Sepi_6A01_aa,Sepi_6b04_aa,Sepi_6B08_ad,Sepi_6C06_aa,Sepi_6C08_ad,Sepi_6d05_aa,Sepi_6E08_ad,Sepi_7a07_aa,Sepi_7B05_aa,Sepi_8C10_ad,Sepi_9B05_ad,Sepi_9D01_ad,Sepi_9d05_aa,Sepi_9d06_aa,Sepi_9E06_aa,Sepi_DM12F07,Sepi_DM12G05,Sepi_DM12H06,Sepi_DM1B01_,Sepi_DM21A02,Sepi_DM21B07,Sepi_DM21C07,Sepi_DM21F02,Sepi_DM23A01,Sepi_DM23A02,Sepi_DM23A03,Sepi_DM23C12,Sepi_DM23E02,Sepi_DM23E06,Sepi_DM24B02,Sepi_DM24B03,Sepi_DM24B04,Sepi_DM24G04,Sepi_DM24G05,Sepi_DM2D11_,Sepi_DM2G10_,Sepi_DM2H03_,Sepi_DM39F06,Sepi_DM3A08_,Shom_28C10_a,Shom_6C072_a,Shom_DM12H05
group_2651,,hypothetical protein,1,1,1.0,1,4222,,,,423,423,423.0,,,,,,,,,,,,,,,,,,,,,,,,Sepi_58D04_C_02484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2647,,hypothetical protein,1,1,1.0,1,4212,,,,423,423,423.0,,,Sepi_1C01_aa_01876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2641,,hypothetical protein,1,1,1.0,1,4201,,,,426,426,426.0,,,Sepi_1C01_aa_01858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2629,,hypothetical protein,1,1,1.0,1,4177,,,,432,432,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_02490,,,,,,,,,,,,,,
group_2628,,hypothetical protein,1,1,1.0,1,4175,,,,432,432,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23A02_02083,,,,,,,,,,,,,,,,,
group_2627,,hypothetical protein,1,1,1.0,1,4174,,,,432,432,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_01410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2625,,hypothetical protein,1,1,1.0,1,4170,,,,432,432,432.0,,,,,,,,,,,,,,,,,Sepi_3A07_ad_01866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2615,,hypothetical protein,1,1,1.0,1,4156,,,,435,435,435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_01999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2604,,hypothetical protein,1,1,1.0,1,4144,,,,438,438,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_01308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2590,,hypothetical protein,1,1,1.0,1,4128,,,,441,441,441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23A02_01177,,,,,,,,,,,,,,,,,
group_2583,,hypothetical protein,1,1,1.0,1,4115,,,,444,444,444.0,,,,,,,,,,,,,Sepi_30A07_a_01369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2578,,hypothetical protein,1,1,1.0,1,4107,,,,447,447,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_9D01_ad_00203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghrB_1,ghrB_1,Glyoxylate/hydroxypyruvate reductase B,1,1,1.0,1,4099,,,,447,447,447.0,,,,,,,,,Sepi_2D07_ad_01306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2567,,hypothetical protein,1,1,1.0,1,4088,,,,450,450,450.0,,,,,,,,,,Sepi_2d12_aa_00418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2563,,hypothetical protein,1,1,1.0,1,4081,,,,453,453,453.0,,,,,,,,,,,,,,,,,,Sepi_3a11_aa_01868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2558,,hypothetical protein,1,1,1.0,1,4075,,,,453,453,453.0,,Sepi_1A04_aa_00335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2530,,hypothetical protein,1,1,1.0,1,4034,,,,462,462,462.0,,,,,,,,,,,,,Sepi_30A07_a_01371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2525,,hypothetical protein,1,1,1.0,1,4024,,,,465,465,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM21A02_02059,,,,,,,,,,,,,,,,,,,,,,
group_2521,,hypothetical protein,1,1,1.0,1,4019,,,,465,465,465.0,,,,,,,,,,,,,Sepi_30A07_a_02129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2514,,hypothetical protein,1,1,1.0,1,4009,,,,468,468,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM12G05_00839,,,,,,,,,,,,,,,,,,,,,,,,,
lcdH_3,lcdH_3,L-carnitine dehydrogenase,1,1,1.0,1,3970,,,,474,474,474.0,,,,,,,,,,Sepi_2d12_aa_02168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2479,,hypothetical protein,1,1,1.0,1,3945,,,,480,480,480.0,,,,,,,,,,,,,,,,,,,,,,Sepi_3D11_aa_01245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2471,,IS200/IS605 family transposase ISSep3,1,1,1.0,1,3931,,,,483,483,483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_00125,,,,,,,,,,,,,,
group_2469,,hypothetical protein,1,1,1.0,1,3925,,,,483,483,483.0,,,,,,,,,,,,,,,,,,Sepi_3a11_aa_01532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2463,,hypothetical protein,1,1,1.0,1,3914,,,,486,486,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_01461,,,,,,,,,,,,,,
group_2462,,hypothetical protein,1,1,1.0,1,3913,,,,486,486,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM21A02_02067,,,,,,,,,,,,,,,,,,,,,,
group_2461,,hypothetical protein,1,1,1.0,1,3911,,,,486,486,486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM12G05_00822,,,,,,,,,,,,,,,,,,,,,,,,,
group_2458,,hypothetical protein,1,1,1.0,1,3905,,,,486,486,486.0,,,,,,,,,,Sepi_2d12_aa_00449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcgIB,bcgIB,Restriction enzyme BgcI subunit beta,1,1,1.0,1,3897,,,,489,489,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM21A02_02057,,,,,,,,,,,,,,,,,,,,,,
group_2442,,hypothetical protein,1,1,1.0,1,3879,,,,495,495,495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_01352,,,,,,,,,,,,,,
hxlB_2,hxlB_2,3-hexulose-6-phosphate isomerase,1,1,1.0,1,3859,,,,498,498,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_01405,,,,,,,,,,,,,,
group_2409,,hypothetical protein,1,1,1.0,1,3824,,,,507,507,507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM1B01__01188,,,,,,,,,,,,,,,,,,,,,,,
group_2398,,hypothetical protein,1,1,1.0,1,3808,,,,513,513,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_02007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2392,,hypothetical protein,1,1,1.0,1,3801,,,,516,516,516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM1B01__01768,,,,,,,,,,,,,,,,,,,,,,,
group_2390,,hypothetical protein,1,1,1.0,1,3798,,,,516,516,516.0,,,,,,,,,,,,,,,,,,,,,,Sepi_3D11_aa_01508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2389,,hypothetical protein,1,1,1.0,1,3797,,,,516,516,516.0,,,,,,,,,,,,,,,,,Sepi_3A07_ad_01868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2388,,hypothetical protein,1,1,1.0,1,3796,,,,516,516,516.0,,,,,,,,,,,,,Sepi_30A07_a_01367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2385,,hypothetical protein,1,1,1.0,1,3788,,,,519,519,519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_01408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2383,,hypothetical protein,1,1,1.0,1,3783,,,,519,519,519.0,,,,,,,,,,,,,Sepi_30A07_a_01370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2378,,hypothetical protein,1,1,1.0,1,3774,,,,522,522,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM21A02_02091,,,,,,,,,,,,,,,,,,,,,,
group_2369,,hypothetical protein,1,1,1.0,1,3757,,,,525,525,525.0,,,,,,,,,,,,,,,,,Sepi_3A07_ad_01867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2365,,hypothetical protein,1,1,1.0,1,3752,,,,528,528,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_00648,,,,,,,,,,,,,,
group_2363,,hypothetical protein,1,1,1.0,1,3750,,,,528,528,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM12G05_00825,,,,,,,,,,,,,,,,,,,,,,,,,
group_2354,,hypothetical protein,1,1,1.0,1,3733,,,,531,531,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_6d05_aa_01662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2341,,hypothetical protein,1,1,1.0,1,3715,,,,534,534,534.0,,,,,,,,,,,,,,,,,Sepi_3A07_ad_01884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2336,,hypothetical protein,1,1,1.0,1,3706,,,,537,537,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM1B01__02159,,,,,,,,,,,,,,,,,,,,,,,
group_2334,,hypothetical protein,1,1,1.0,1,3703,,,,537,537,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_02000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2333,,hypothetical protein,1,1,1.0,1,3702,,,,537,537,537.0,,,,,,,,,,,,,,,,,,,,,,Sepi_3D11_aa_01512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2330,,hypothetical protein,1,1,1.0,1,3697,,,,537,537,537.0,,,Sepi_1C01_aa_01857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2312,,hypothetical protein,1,1,1.0,1,3665,,,,543,543,543.0,,,,,,,,,,,,,,,,,Sepi_3A07_ad_01885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2303,,hypothetical protein,1,1,1.0,1,3654,,,,546,546,546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM21A02_02070,,,,,,,,,,,,,,,,,,,,,,
group_2302,,hypothetical protein,1,1,1.0,1,3651,,,,546,546,546.0,,,,,,,,,,,,,,,,,,,,,,Sepi_3D11_aa_01511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2297,,hypothetical protein,1,1,1.0,1,3643,,,,549,549,549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM12G05_01473,,,,,,,,,,,,,,,,,,,,,,,,,
group_2293,,hypothetical protein,1,1,1.0,1,3632,,,,549,549,549.0,,,,,,,,Sepi_2C10_ad_01942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yflS_1,yflS_1,Putative malate transporter YflS,1,1,1.0,1,3631,,,,549,549,549.0,,Sepi_1A04_aa_00975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2290,,hypothetical protein,1,1,1.0,1,3624,,,,552,552,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_02009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2287,,hypothetical protein,1,1,1.0,1,3620,,,,552,552,552.0,,,,,,,,,,Sepi_2d12_aa_02171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2285,,hypothetical protein,1,1,1.0,1,3617,,,,552,552,552.0,,Sepi_1A04_aa_02083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2281,,hypothetical protein,1,1,1.0,1,3609,,,,555,555,555.0,,,,,,,,,,,,,,,,,,,,,,,,Sepi_58D04_C_02402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2274,,hypothetical protein,1,1,1.0,1,3594,,,,558,558,558.0,,,,,,,,,,,,,Sepi_30A07_a_01073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2267,,hypothetical protein,1,1,1.0,1,3579,,,,561,561,561.0,,,,,,,,,,,,,Sepi_30A07_a_01067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2263,,hypothetical protein,1,1,1.0,1,3570,,,,564,564,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_02008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dapE_3,dapE_3,putative succinyl-diaminopimelate desuccinylase,1,1,1.0,1,3562,,,,567,567,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23A02_01175,,,,,,,,,,,,,,,,,
group_2255,,hypothetical protein,1,1,1.0,1,3551,,,,570,570,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_6C08_ad_01020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2245,,hypothetical protein,1,1,1.0,1,3523,,,,579,579,579.0,,,,,,,Sepi_2A01_aa_02013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2240,,hypothetical protein,1,1,1.0,1,3514,,,,582,582,582.0,,,,,,,,,,,,,Sepi_30A07_a_01247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2236,,hypothetical protein,1,1,1.0,1,3507,,,,585,585,585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_01919,,,,,,,,,,,,,,
group_2232,,hypothetical protein,1,1,1.0,1,3497,,,,588,588,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM12G05_00824,,,,,,,,,,,,,,,,,,,,,,,,,
group_2230,soj,Sporulation initiation inhibitor protein Soj,1,1,1.0,1,3495,,,,588,588,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_02004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2221,,hypothetical protein,1,1,1.0,1,3475,,,,594,594,594.0,,,,,,,,,,Sepi_2d12_aa_02248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2217,,hypothetical protein,1,1,1.0,1,3470,,,,597,597,597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM1B01__01760,,,,,,,,,,,,,,,,,,,,,,,
group_2213,,hypothetical protein,1,1,1.0,1,3466,,,,597,597,597.0,,,,,,,,,,,,,,,,,,Sepi_3a11_aa_01526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2212,,hypothetical protein,1,1,1.0,1,3465,,,,597,597,597.0,,,,,,,,,,,,,Sepi_30A07_a_01365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2201,,hypothetical protein,1,1,1.0,1,3450,,,,603,603,603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_02003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2200,,hypothetical protein,1,1,1.0,1,3448,,,,603,603,603.0,,,,,,,,,,,,Sepi_2g06_aa_00084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2188,,hypothetical protein,1,1,1.0,1,3434,,,,606,606,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_6C08_ad_01024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2187,,hypothetical protein,1,1,1.0,1,3433,,,,606,606,606.0,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_58F01_C_02449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2175,,hypothetical protein,1,1,1.0,1,3417,,,,609,609,609.0,,,,,,,,,,,,,Sepi_30A07_a_01085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2167,,hypothetical protein,1,1,1.0,1,3408,,,,612,612,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_01917,,,,,,,,,,,,,,
group_2163,,hypothetical protein,1,1,1.0,1,3403,,,,612,612,612.0,,,,,,,,,,,,Sepi_2g06_aa_00063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2162,,hypothetical protein,1,1,1.0,1,3402,,,,612,612,612.0,,,,,,,,,,Sepi_2d12_aa_02172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2158,,hypothetical protein,1,1,1.0,1,3394,,,,615,615,615.0,,,,,,,,,,,,,,,,,,Sepi_3a11_aa_01889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2154,,hypothetical protein,1,1,1.0,1,3389,,,,618,618,618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_6A01_aa_01389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2149,,hypothetical protein,1,1,1.0,1,3384,,,,621,621,621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_6d05_aa_01628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opuCB_3,opuCB_3,Carnitine transport permease protein OpuCB,1,1,1.0,1,3355,,,,633,633,633.0,,,,,,,,,,Sepi_2d12_aa_02166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2127,,hypothetical protein,1,1,1.0,1,3346,,,,636,636,636.0,,,,,,,,,,,,,Sepi_30A07_a_02125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2126,,hypothetical protein,1,1,1.0,1,3342,,,,639,639,639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM21C07_00969,,,,,,,,,,,,,,,,,,,,
group_2118,,hypothetical protein,1,1,1.0,1,3332,,,,642,642,642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_02005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2114,,hypothetical protein,1,1,1.0,1,3325,,,,645,645,645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_6A01_aa_01399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2113,,hypothetical protein,1,1,1.0,1,3322,,,,648,648,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_7a07_aa_00542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2112,,hypothetical protein,1,1,1.0,1,3315,,,,651,651,651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM1B01__01767,,,,,,,,,,,,,,,,,,,,,,,
group_2111,,hypothetical protein,1,1,1.0,1,3314,,,,651,651,651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_63G02_C_02006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2109,,hypothetical protein,1,1,1.0,1,3311,,,,651,651,651.0,,,,,,,,,,,,,Sepi_30A07_a_01083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2108,,hypothetical protein,1,1,1.0,1,3308,,,,657,657,657.0,,,,,,,,,,,,,,,,,,,,,,,,Sepi_58D04_C_02403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2104,,hypothetical protein,1,1,1.0,1,3304,,,,660,660,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM23E02_01353,,,,,,,,,,,,,,
group_2103,,hypothetical protein,1,1,1.0,1,3303,,,,660,660,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM1B01__02161,,,,,,,,,,,,,,,,,,,,,,,
opuCD_3,opuCD_3,Carnitine transport permease protein OpuCD,1,1,1.0,1,3300,,,,660,660,660.0,,,,,,,,,,Sepi_2d12_aa_02164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2099,,hypothetical protein,1,1,1.0,1,3289,,,,663,663,663.0,,,,,,,,,,,,,,,,,,,,,,Sepi_3D11_aa_02188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2096,,hypothetical protein,1,1,1.0,1,3283,,,,666,666,666.0,,,,,,,,,,,,,,,,,,,,,,Sepi_3D11_aa_00511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2094,,hypothetical protein,1,1,1.0,1,3278,,,,669,669,669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_DM21C07_00962,,,,,,,,,,,,,,,,,,,,
group_2092,,hypothetical protein,1,1,1.0,1,3274,,,,672,672,672.0,,,,,,,,,,,,,Sepi_30A07_a_01069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2085,,hypothetical protein,1,1,1.0,1,3263,,,,453,453,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_6C08_ad_01208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_2084,,hypothetical protein,1,1,1.0,1,3262,,,,312,312,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sepi_6C08_ad_01207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
